#SpaceTrack

CAT ID,SATNAME,INTLDES,TYPE,COUNTRY,LAUNCH DATE,SITE,DECAY
131 ,THOR ABLESTAR DEB,1961-015R,DEBRIS,US,1961-06-29,AFETR,
132 ,THOR ABLESTAR DEB,1961-015S,DEBRIS,US,1961-06-29,AFETR,
133 ,THOR ABLESTAR DEB,1961-015T,DEBRIS,US,1961-06-29,AFETR,
134 ,THOR ABLESTAR DEB,1961-015U,DEBRIS,US,1961-06-29,AFETR,
135 ,THOR ABLESTAR DEB,1961-015V,DEBRIS,US,1961-06-29,AFETR,2002-04-17
136 ,THOR ABLESTAR DEB,1961-015W,DEBRIS,US,1961-06-29,AFETR,
137 ,THOR ABLESTAR DEB,1961-015X,DEBRIS,US,1961-06-29,AFETR,1980-12-15
138 ,THOR ABLESTAR DEB,1961-015Y,DEBRIS,US,1961-06-29,AFETR,
139 ,THOR ABLESTAR DEB,1961-015Z,DEBRIS,US,1961-06-29,AFETR,1978-07-08
140 ,THOR ABLESTAR DEB,1961-015AA,DEBRIS,US,1961-06-29,AFETR,1962-09-30
141 ,THOR ABLESTAR DEB,1961-015AB,DEBRIS,US,1961-06-29,AFETR,
142 ,THOR ABLESTAR DEB,1961-015AC,DEBRIS,US,1961-06-29,AFETR,1967-12-25
143 ,THOR ABLESTAR DEB,1961-015AD,DEBRIS,US,1961-06-29,AFETR,1962-06-16
144 ,THOR ABLESTAR DEB,1961-015AE,DEBRIS,US,1961-06-29,AFETR,
145 ,THOR ABLESTAR DEB,1961-015AF,DEBRIS,US,1961-06-29,AFETR,
146 ,THOR ABLESTAR DEB,1961-015AG,DEBRIS,US,1961-06-29,AFETR,1969-07-07
147 ,THOR ABLESTAR DEB,1961-015AH,DEBRIS,US,1961-06-29,AFETR,
148 ,THOR ABLESTAR DEB,1961-015AJ,DEBRIS,US,1961-06-29,AFETR,
149 ,THOR ABLESTAR DEB,1961-015AK,DEBRIS,US,1961-06-29,AFETR,1979-03-03
150 ,THOR ABLESTAR DEB,1961-015AL,DEBRIS,US,1961-06-29,AFETR,
151 ,THOR ABLESTAR DEB,1961-015AM,DEBRIS,US,1961-06-29,AFETR,1967-12-02
152 ,THOR ABLESTAR DEB,1961-015AN,DEBRIS,US,1961-06-29,AFETR,
153 ,THOR ABLESTAR DEB,1961-015AP,DEBRIS,US,1961-06-29,AFETR,1981-04-20
154 ,THOR ABLESTAR DEB,1961-015AQ,DEBRIS,US,1961-06-29,AFETR,
155 ,THOR ABLESTAR DEB,1961-015AR,DEBRIS,US,1961-06-29,AFETR,
156 ,THOR ABLESTAR DEB,1961-015AS,DEBRIS,US,1961-06-29,AFETR,1998-09-25
157 ,THOR ABLESTAR DEB,1961-015AT,DEBRIS,US,1961-06-29,AFETR,1981-01-08
158 ,THOR ABLESTAR DEB,1961-015AU,DEBRIS,US,1961-06-29,AFETR,
159 ,THOR ABLESTAR DEB,1961-015AV,DEBRIS,US,1961-06-29,AFETR,
160 ,DISCOVERER 26,1961-016A,PAYLOAD,US,1961-07-07,AFWTR,1961-12-05
161 ,THOR ABLESTAR DEB,1961-015AW,DEBRIS,US,1961-06-29,AFETR,1981-08-29
162 ,TIROS 3,1961-017A,PAYLOAD,US,1961-07-12,AFETR,
163 ,MIDAS 3,1961-018A,PAYLOAD,US,1961-07-12,AFWTR,
164 ,MIDAS 3 DEB,1961-018B,DEBRIS,US,1961-07-12,AFWTR,1961-07-24
165 ,DELTA 1 R/B,1961-017B,ROCKET BODY,US,1961-07-12,AFETR,2014-02-19
166 ,DELTA 1 DEB (YO),1961-017C,DEBRIS,US,1961-07-12,AFETR,1992-03-02
167 ,DELTA 1 DEB (YO),1961-017D,DEBRIS,US,1961-07-12,AFETR,
168 ,VOSTOK 2,1961-019A,PAYLOAD,CIS,1961-08-06,TTMTR,1961-08-07
169 ,SL-3 R/B,1961-019B,ROCKET BODY,CIS,1961-08-06,TTMTR,1961-08-09
170 ,EXPLORER 12,1961-020A,PAYLOAD,US,1961-08-15,AFETR,1963-09-30
171 ,THOR ABLESTAR DEB,1961-015AX,DEBRIS,US,1961-06-29,AFETR,1962-01-29
172 ,THOR ABLESTAR DEB,1961-015AY,DEBRIS,US,1961-06-29,AFETR,
173 ,RANGER 1,1961-021A,PAYLOAD,US,1961-08-23,AFETR,1961-08-30
174 ,ATLAS AGENA B R/B,1961-021B,ROCKET BODY,US,1961-08-23,AFETR,1961-09-03
175 ,THOR ABLESTAR DEB,1961-015AZ,DEBRIS,US,1961-06-29,AFETR,1999-03-12
176 ,THOR ABLESTAR DEB,1961-015BA,DEBRIS,US,1961-06-29,AFETR,1982-02-12
177 ,THOR ABLESTAR DEB,1961-015BB,DEBRIS,US,1961-06-29,AFETR,
178 ,THOR ABLESTAR DEB,1961-015BC,DEBRIS,US,1961-06-29,AFETR,
179 ,THOR ABLESTAR DEB,1961-015BD,DEBRIS,US,1961-06-29,AFETR,2000-03-03
180 ,EXPLORER 13,1961-022A,PAYLOAD,US,1961-08-25,WLPIS,1961-08-28
181 ,DISCOVERER 29,1961-023A,PAYLOAD,US,1961-08-30,AFWTR,1961-09-10
182 ,DISCOVERER 30,1961-024A,PAYLOAD,US,1961-09-12,AFWTR,1961-12-11
183 ,MERCURY ATLAS 4,1961-025A,PAYLOAD,US,1961-09-13,AFETR,1961-09-13
184 ,ATLAS D R/B,1961-025B,ROCKET BODY,US,1961-09-13,AFETR,1961-09-13
185 ,DISCOVERER 30 DEB,1961-024B,DEBRIS,US,1961-09-12,AFWTR,1961-09-18
186 ,DISCOVERER 31,1961-026A,PAYLOAD,US,1961-09-17,AFWTR,1961-10-26
187 ,DISCOVERER 30 DEB,1961-024C,DEBRIS,US,1961-09-12,AFWTR,1961-09-28
188 ,MIDAS 3 DEB,1961-018C,DEBRIS,US,1961-07-12,AFWTR,
189 ,DISCOVERER 32,1961-027A,PAYLOAD,US,1961-10-13,AFWTR,1961-11-13
190 ,DISCOVERER 32 DEB,1961-027B,DEBRIS,US,1961-10-13,AFWTR,1961-11-25
191 ,DISCOVERER 32 DEB,1961-027C,DEBRIS,US,1961-10-13,AFWTR,1961-10-16
192 ,MIDAS 4,1961-028A,PAYLOAD,US,1961-10-21,AFWTR,
193 ,MIDAS 4 DEB (NOSECONE),1961-028B,DEBRIS,US,1961-10-21,AFWTR,1961-12-05
194 ,MIDAS 4 DEB,1961-028C,DEBRIS,US,1961-10-21,AFWTR,
195 ,MIDAS 4 DEB,1961-028D,DEBRIS,US,1961-10-21,AFWTR,
196 ,MIDAS 3 DEB,1961-018D,DEBRIS,US,1961-07-12,AFWTR,
197 ,DISCOVERER 34,1961-029A,PAYLOAD,US,1961-11-05,AFWTR,1962-12-07
198 ,DISCOVERER 34 DEB,1961-029B,DEBRIS,US,1961-11-05,AFWTR,1961-11-30
199 ,DISCOVERER 34 DEB,1961-029C,DEBRIS,US,1961-11-05,AFWTR,1961-12-09
200 ,DISCOVERER 34 DEB,1961-029D,DEBRIS,US,1961-11-05,AFWTR,1961-12-10
201 ,DISCOVERER 35,1961-030A,PAYLOAD,US,1961-11-15,AFWTR,1961-12-03
202 ,TRANSIT 4B,1961-031A,PAYLOAD,US,1961-11-15,AFETR,
203 ,DISCOVERER 34 DEB,1961-029E,DEBRIS,US,1961-11-05,AFWTR,1961-12-12
204 ,THOR ABLESTAR R/B,1961-031C,ROCKET BODY,US,1961-11-15,AFETR,
